datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-07-08T00:00:00+02:00;13571.951;131.59;0.7228;95.116
2025-07-08T01:00:00+02:00;13375.205;114.59;0.7306;83.714
2025-07-08T02:00:00+02:00;13132.088;102.64;0.7401;75.966
2025-07-08T03:00:00+02:00;12729.336;83.63;0.756;63.221
2025-07-08T04:00:00+02:00;12584.786;83.83;0.7616;63.848
2025-07-08T05:00:00+02:00;11999.532;78.15;0.7847;61.321
2025-07-08T06:00:00+02:00;11354.107;110.7;0.81;89.672
2025-07-08T07:00:00+02:00;10649.41;125.85;0.8378;105.432
2025-07-08T08:00:00+02:00;9720.558;135.32;0.8743;118.308
2025-07-08T09:00:00+02:00;8546.182;87.26;0.9205;80.32
2025-07-08T10:00:00+02:00;7325.836;134.76;0.9685;130.511
2025-07-08T11:00:00+02:00;6360.623;131.73;1.0064;132.577
2025-07-08T12:00:00+02:00;5287.738;131.22;1.0486;137.6
2025-07-08T13:00:00+02:00;5283.327;130.29;1.0488;136.648
2025-07-08T14:00:00+02:00;5312.845;65.53;1.0476;68.652
2025-07-08T15:00:00+02:00;5158.994;65.75;1.0537;69.28
2025-07-08T16:00:00+02:00;5395.478;67.45;1.0444;70.444
2025-07-08T17:00:00+02:00;6248.907;82.0;1.0108;82.887
2025-07-08T18:00:00+02:00;6828.254;182.87;0.988;180.682
2025-07-08T19:00:00+02:00;8273.429;204.02;0.9312;189.983
2025-07-08T20:00:00+02:00;9233.405;246.26;0.8934;220.02
2025-07-08T21:00:00+02:00;9785.558;252.56;0.8717;220.164
2025-07-08T22:00:00+02:00;10342.63;187.98;0.8498;159.749
2025-07-08T23:00:00+02:00;10534.443;185.32;0.8423;156.091
2025-07-09T00:00:00+02:00;10273.769;141.19;0.8525;120.369
2025-07-09T01:00:00+02:00;9713.335;135.08;0.8746;118.137
2025-07-09T02:00:00+02:00;9229.161;132.88;0.8936;118.743
2025-07-09T03:00:00+02:00;8396.548;131.43;0.9264;121.751
2025-07-09T04:00:00+02:00;7412.951;137.14;0.965;132.346
2025-07-09T05:00:00+02:00;6594.878;138.01;0.9972;137.626
2025-07-09T06:00:00+02:00;6087.473;136.79;1.0172;139.139
2025-07-09T07:00:00+02:00;5444.423;140.78;1.0425;146.758
2025-07-09T08:00:00+02:00;4434.806;162.0;1.0822;175.311
2025-07-09T09:00:00+02:00;3551.583;156.0;1.1169;174.237
2025-07-09T10:00:00+02:00;2879.096;176.04;1.1434;201.276
2025-07-09T11:00:00+02:00;2569.603;158.07;1.1555;182.654
2025-07-09T12:00:00+02:00;2397.907;154.3;1.1623;179.339
2025-07-09T13:00:00+02:00;2314.664;152.79;1.1655;178.084
2025-07-09T14:00:00+02:00;2570.815;87.51;1.1555;101.116
2025-07-09T15:00:00+02:00;2719.827;89.24;1.1496;102.592
2025-07-09T16:00:00+02:00;2762.068;102.06;1.148;117.16
2025-07-09T17:00:00+02:00;2609.156;126.33;1.154;145.781
